Summary_Metric,Voice_Metric,Correlation,P_Value,Significant,Abs_Correlation
Overall_Percentage,valence_std,0.41681640934447667,0.12219773112507509,No,0.41681640934447667
Topic_Coverage,dominance_trend_direction,-0.41513197759691967,0.12386960183703997,No,0.41513197759691967
Topic_Coverage,arousal_trend_direction,-0.41513197759691967,0.12386960183703997,No,0.41513197759691967
Topic_Coverage,arousal_total_change,0.41489864738878346,0.12410242173109891,No,0.41489864738878346
Overall_Percentage,intensity_total_change,0.4132385860883009,0.12576751144194176,No,0.4132385860883009
Overall_Percentage,surprise_trend_direction,-0.4101946580673246,0.12886024081240832,No,0.4101946580673246
Factual_Accuracy,harmonic_ratio_min,0.4087119456847996,0.1303853558208194,No,0.4087119456847996
Factual_Accuracy,valence_trend_direction,-0.4082482904638631,0.13086478412099223,No,0.4082482904638631
Factual_Accuracy,pitch_variation_trend_direction,-0.4082482904638631,0.13086478412099223,No,0.4082482904638631
Factual_Accuracy,surprise_trend_direction,-0.4082482904638631,0.13086478412099223,No,0.4082482904638631
Factual_Accuracy,stress_trend_direction,-0.4082482904638631,0.13086478412099223,No,0.4082482904638631
Topic_Coverage,angry_trend_direction,0.40795336176841496,0.13117037003055673,No,0.40795336176841496
Overall_Percentage,volume_range_min,-0.40795287200899144,0.13117087789114376,No,0.40795287200899144
Topic_Coverage,intensity_total_change,0.4076515094431277,0.13148363256183143,No,0.4076515094431277
Topic_Coverage,surprise_max,-0.40402794047029994,0.1352839850713696,No,0.40402794047029994
Semantic_Similarity,happy_trend_slope,0.4035714285714285,0.13576799650365623,No,0.4035714285714285
Semantic_Similarity,disgust_median,0.3978520179166229,0.14193167500270515,No,0.3978520179166229
Topic_Coverage,spectral_bandwidth_mean,0.39678080252464437,0.14310672888778528,No,0.39678080252464437
Overall_Percentage,disgust_min,-0.3953494698074221,0.14468701538727485,No,0.3953494698074221
Overall_Percentage,stress_cv,-0.39356055817933416,0.14667854857075657,No,0.39356055817933416
Semantic_Similarity,fear_max_change,0.3928571428571428,0.14746665531132622,No,0.3928571428571428
Semantic_Similarity,spectral_bandwidth_mean,-0.3928571428571428,0.14746665531132622,No,0.3928571428571428
Topic_Coverage,sad_std,-0.39134544906540264,0.1491699648351543,No,0.39134544906540264
Topic_Coverage,sad_variance,-0.39134544906540264,0.1491699648351543,No,0.39134544906540264
Overall_Percentage,angry_trend_slope,0.38998273492315844,0.1507166705978014,No,0.38998273492315844
Topic_Coverage,volume_std_total_change,0.38953366457898875,0.15122871673218083,No,0.38953366457898875
Topic_Coverage,volume_range_total_change,0.38953366457898875,0.15122871673218083,No,0.38953366457898875
Topic_Coverage,volume_mean_total_change,0.38953366457898875,0.15122871673218083,No,0.38953366457898875
Semantic_Similarity,pitch_range_mean_change,-0.38928571428571423,0.15151193679039388,No,0.38928571428571423
Semantic_Similarity,disgust_mean,0.38928571428571423,0.15151193679039388,No,0.38928571428571423
Topic_Coverage,fear_mean,0.38772188009257486,0.1533063966505861,No,0.38772188009257486
Topic_Coverage,pitch_variation_mean_change,0.38591009560616096,0.15540305770681268,No,0.38591009560616096
Factual_Accuracy,pitch_range_trend_slope,-0.38575837490522974,0.15557949721454709,No,0.38575837490522974
