Summary_Metric,Fusion_Metric,Correlation,P_Value,Significant,Abs_Correlation
Semantic_Similarity,combined_intensity_max_change,-0.12142857142857141,0.6664011137233894,No,0.12142857142857141
Topic_Coverage,combined_intensity_max,-0.12138956058973138,0.6665025708785091,No,0.12138956058973138
Overall_Percentage,combined_intensity_median,-0.11806816745380026,0.675160176332892,No,0.11806816745380026
Factual_Accuracy,combined_arousal_max_change,0.11572751247156893,0.6812842262748899,No,0.11572751247156893
Factual_Accuracy,combined_intensity_range,-0.11572751247156893,0.6812842262748899,No,0.11572751247156893
Factual_Accuracy,combined_intensity_total_change,-0.11572751247156893,0.6812842262748899,No,0.11572751247156893
Factual_Accuracy,combined_intensity_max,0.11572751247156893,0.6812842262748899,No,0.11572751247156893
Factual_Accuracy,combined_arousal_median,0.11572751247156893,0.6812842262748899,No,0.11572751247156893
Factual_Accuracy,valence_modality_agreement,-0.11572751247156893,0.6812842262748899,No,0.11572751247156893
Factual_Accuracy,combined_valence_median,0.11572751247156893,0.6812842262748899,No,0.11572751247156893
Factual_Accuracy,combined_valence_total_change,0.11572751247156893,0.6812842262748899,No,0.11572751247156893
Factual_Accuracy,combined_intensity_median,0.11572751247156893,0.6812842262748899,No,0.11572751247156893
Overall_Percentage,combined_valence_median,0.11449034419762448,0.684528635945727,No,0.11449034419762448
Semantic_Similarity,fused_pct_time_calm,-0.11428571428571425,0.6850657626568972,No,0.11428571428571425
Topic_Coverage,combined_arousal_std,-0.11414242264407579,0.6854419678122219,No,0.11414242264407579
Topic_Coverage,combined_arousal_variance,-0.11414242264407579,0.6854419678122219,No,0.11414242264407579
Topic_Coverage,fused_peak_intensity_mean,-0.11414242264407579,0.6854419678122219,No,0.11414242264407579
Overall_Percentage,combined_pct_time_calm,0.11270143256953662,0.6892290163917691,No,0.11270143256953662
Overall_Percentage,combined_valence_mean,0.11270143256953662,0.6892290163917691,No,0.11270143256953662
Overall_Percentage,fused_pct_time_calm,0.1109125209414487,0.6939399670291051,No,0.1109125209414487
Semantic_Similarity,combined_arousal_variance,-0.11071428571428568,0.6944626472070963,No,0.11071428571428568
Semantic_Similarity,combined_pct_time_calm,-0.11071428571428568,0.6944626472070963,No,0.11071428571428568
Semantic_Similarity,combined_arousal_std,-0.11071428571428568,0.6944626472070963,No,0.11071428571428568
Overall_Percentage,combined_arousal_max_change,-0.10912360931336083,0.6986613390567722,No,0.10912360931336083
Topic_Coverage,combined_valence_min,-0.10870706918483408,0.6997621693901912,No,0.10870706918483408
Semantic_Similarity,combined_time_in_stressed,0.10714285714285714,0.7039010016261615,No,0.10714285714285714
Topic_Coverage,combined_intensity_median,-0.10145993123917847,0.7190020323168274,No,0.10145993123917847
Topic_Coverage,combined_arousal_range,-0.10145993123917847,0.7190020323168274,No,0.10145993123917847
